名称,名称(英語),設置場所,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
成幸在宅サービスセンター,"",成幸在宅サービスセンター,東京都品川区中延1-8-7,35.612084,139.711838,"","","","","",""
荏原図書館,"",荏原図書館,東京都品川区中延1-9-15,35.612164,139.710546,"","","","","",""
荏原文化センター,"",荏原文化センター,東京都品川区中延1-9-15,35.612164,139.710546,"","","","","",""
中延小学校,"",中延小学校,東京都品川区中延1-11-15,35.612567,139.709502,"","","","","",""
源氏前図書館,"",源氏前図書館,東京都品川区中延4-14-17,35.605509,139.709977,"","","","","",""
荏原第四地域センター,"",荏原第四地域センター,東京都品川区中延5-3-12,35.60374,139.708358,"","","","","",""
源氏前小学校,"",源氏前小学校,東京都品川区中延6-2-18,35.603448,139.711677,"","","","","",""
中延特別養護老人ホーム,"",中延特別養護老人ホーム,東京都品川区中延6-8-8,35.601812,139.711191,"","","","","",""
西大井保育園,"",西大井保育園,東京都品川区西大井1-1-1,35.600771,139.721581,"","","","","",""
西大井広場公園管理詰所,"",西大井広場公園管理詰所,東京都品川区西大井1-4-10,35.601827,139.722981,"","","","","",""
大井第三地域センター,"",大井第三地域センター,東京都品川区西大井4-1-8,35.597669,139.721078,"","","","","",""
冨士見台中学校,"",冨士見台中学校,東京都品川区西大井5-5-14,35.598555,139.715263,"","","","","",""
伊藤小学校,"",伊藤小学校,東京都品川区西大井5-6-8,35.598755,139.717279,"","","","","",""
西大井福祉園,"",西大井福祉園,東京都品川区西大井5-7-24,35.59926,139.716615,"","","","","",""
伊藤幼稚園,"",伊藤幼稚園,東京都品川区西大井5-22-8,35.598113,139.716846,"","","","","",""
冨士見台児童センター,"",冨士見台児童センター,東京都品川区西大井6-1-8,35.601329,139.714232,"","","","","",""
かがやき園,"",かがやき園,東京都品川区西大井6-2-14,35.600838,139.715504,"","","","","",""
伊藤児童センター ,"",伊藤児童センター ,東京都品川区西大井6-13-1,35.600741,139.717562,"","","","","",""
大崎第一地域センター,"",大崎第一地域センター,東京都品川区西五反田3-6-3,35.627776,139.716859,"","","","","",""
西五反田在宅サービスセンター,"",西五反田在宅サービスセンター,東京都品川区西五反田3-6-6,35.628118,139.716964,"","","","","",""
ぷりすくーる西五反田,"",ぷりすくーる西五反田,東京都品川区西五反田3-9-9 ,35.626751,139.717142,"","","","","",""
西五反田シルバーセンター,"",西五反田シルバーセンター,東京都品川区西五反田3-9-10,35.626535,139.716906,"","","","","",""
第四日野小学校,"",第四日野小学校,東京都品川区西五反田4-29-9,35.625804,139.712343,"","","","","",""
五反田文化センター,"",五反田文化センター,東京都品川区西五反田6-5-1,35.62246,139.71664,"","","","","",""
五反田図書館,"",五反田図書館,東京都品川区西五反田6-5-1,35.62246,139.71664,"","","","","",""
第一日野幼稚園,"",第一日野幼稚園,東京都品川区西五反田6-5-6,35.622132,139.716359,"","","","","",""
第一日野小学校,"",第一日野小学校,東京都品川区西五反田6-5-32,35.622168,139.716098,"","","","","",""
三ツ木保育園,"",三ツ木保育園,東京都品川区西品川1-9-18,35.613114,139.729697,"","","","","",""
しながわ中央公園管理棟,"",しながわ中央公園管理棟,東京都品川区西品川1-27-14,35.609226,139.72892,"","","","","",""
中小企業センター,"",中小企業センター,東京都品川区西品川1-28-3,35.609295,139.727686,"","","","","",""
三ツ木児童センター,"",三ツ木児童センター,東京都品川区西品川2-6-13,35.614006,139.726217,"","","","","",""
大崎中学校,"",大崎中学校,東京都品川区西品川3-10-6,35.615836,139.723011,"","","","","",""
三木小学校,"",三木小学校,東京都品川区西品川3-16-28,35.615528,139.726856,"","","","","",""
西品川保育園,"",西品川保育園,東京都品川区西品川3-16-35,35.615045,139.726167,"","","","","",""
中延児童センター,"",中延児童センター,東京都品川区西中延1-6-16,35.61242,139.708496,"","","","","",""
延山小学校,"",延山小学校,東京都品川区西中延2-17-5,35.609012,139.708082,"","","","","",""
西中延児童センター,"",西中延児童センター,東京都品川区西中延3-8-5,35.607334,139.708146,"","","","","",""
第二延山小学校,"",第二延山小学校,東京都品川区旗の台1-6-1,35.61012,139.703613,"","","","","",""
清水台小学校,"",清水台小学校,東京都品川区旗の台1-11-17,35.61012,139.703613,"","","","","",""
旗台小学校,"",旗台小学校,東京都品川区旗の台4-7-11,35.603354,139.704194,"","","","","",""
旗の台シルバーセンター,"",旗の台シルバーセンター,東京都品川区旗の台4-13-1,35.602584,139.704669,"","","","","",""
心身障害者福祉会館,"",心身障害者福祉会館,東京都品川区旗の台5-2-2,35.605003,139.700419,"","","","","",""
荏原第五中学校,"",荏原第五中学校,東京都品川区旗の台5-11-13,35.603156,139.702102,"","","","","",""
リサイクルショップリボン旗の台店,"",リサイクルショップリボン旗の台店,東京都品川区旗の台5-13-9,35.603156,139.702102,"","","","","",""
旗の台文化センター,"",旗の台文化センター,東京都品川区旗の台5-19-5,35.603756,139.700453,"","","","","",""
鮫洲運動公園事務所,"",鮫洲運動公園事務所,東京都品川区東大井1-4-11,35.605882,139.744994,"","","","","",""
東大井児童センター,"",東大井児童センター,東京都品川区東大井1-22-16,35.603483,139.741372,"","","","","",""
鮫浜小学校,"",鮫浜小学校,東京都品川区東大井2-10-14,35.601716,139.740669,"","","","","",""
東大井区民集会所,"",東大井区民集会所,東京都品川区東大井2-16-12,35.600719,139.741697,"","","","","",""
浜川中学校,"",浜川中学校,東京都品川区東大井3-18-34,35.6002,139.737944,"","","","","",""
